0,1,2,3,4,5,6,7,8,9,10,11,12
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 01, 1937",?,"Phaleron Bay, Greece",Imperial Airways,?,"Alexandria, Egypt  - Athens, Greece",Short Empire flying boat,G-ADVC,S-820,14   (passengers:9  crew:5),2   (passengers:2  crew:0),0,Crashed as it landed in Phaleron Bay. Two passengers drowned. Poor visibility was blamed for the accident.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 06, 1937",1225,"Palembang, Netherlands Indies",KLM Royal Dutch Airlines,?,Palembang - Singapore,Douglas DC-3,PH-ALS,1940,11   (passengers:7  crew:4),4   (passengers:1  crew:3),0,"While in initial climb, the left engine failed. The crew decided to return for a safe landing but the aircraft hit  tree tops, stalled and crashed. Bronislaw Hubermann, celibrated Polish violinist was sightly injured. The aircraft was named ""Specht""."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 17, 1937",2100,"Haydens Peak, Wyoming",United Air Lines,1,Newark - Chicago - Cheyenne - Salt Lake City - Los Angeles,Douglas DC-3,NC16074,1914,19   (passengers:16  crew:3),19   (passengers:16  crew:3),0,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Static conditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 27, 1937",0423,Off Western Africa,Air France,?,Dakar - Casablanca,Dewoitine D-333,F-ALQA,01,7   (passengers:2  crew:5),7   (passengers:2  crew:5),0,Disappeared after sending a distress call while en route. Apparently crashed into the sea.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 11, 1937",?,"Warsaw, Poland",Lot Polish Airlines,?,Krakow - Warsaw,Lockheed 10 Electra,SP-AYD,1048,11   (passengers:9  crew:2),4   (passengers:2  crew:2),0,"While attemptiing to land at Warsaw at night and in fog, The aircraft flew too low and struck power line and crashed in an open field."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 12, 1937",1650,"Mannheim, Germany",Deutsche Lufthansa,?,Berlin - Mannheim,Heinkel He-111,D-AXAV,1830,12   (passengers:9  crew:3),10   (passengers:7  crew:3),0,Hit the ground short of the runway while attempting to land in fog. The aircraft was named aircraft Köln.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 12, 1937",?,"Warsaw, Poland",LOT,?,Krakow - Warsaw,Lockhed 10 Electra,SP-AYD,1048,11   (passengers:9  crew:2),4   (passengers:2  crew:2),?,"On final approach at night and in poor visibility due to fog, the pilot flew too low, hit power lines and crashed in a field."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 16, 1937",1530,"Ostende, Belgium",Sabena,?,Cologne - Brussels - London,Junkers JU-52/3m,OO-AUB,5827,11   (passengers:8  crew:3),11   (passengers:8  crew:3),0,"The aircraft was flying from Cologne to London and should have made a scheduled stop at Brussel's Haren airport.  However, Brussels was shrouded in fog and the pilot was advised to fly on to Ostend. Weather
conditions were poor in Ostend as well and the aircraft hit a factory chimney while flying on approach to Ostend Stene airport.  All on board were killed including the Grand Duke and Duchess of Hesse who were traveling to London for a minor royal wedding. An airport employee was blamed for not guiding the pilot down in conditions of poor visibility."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 26, 1937",?,"Croydon, United Kingdom",Deutsche Lufthansa,?,?,Junkers JU-52,D-AGAV,4023,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,Engine failure on takeoff caused the cargo plane to stall and crash into a hanger.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 04, 1937",?,"Munich, Germany",Ala Littoria,?,Rome - Munich - Berlin,Junkers JU-52,I-BAUS,4063,17   (passengers:14  crew:3),4   (passengers:4  crew:0),0,Crashed into a hill while on approach in low visibility.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 05, 1937",0900,"Brindisi Harbor, Italy",Imperial Airways,?,India - London,Short Empire Flying Boat,G-ADUZ,?,19   (passengers:13  crew:6),2   (passengers:1  crew:1),0,The flying boat crashed while attempting to take off. The aircraft was named Cygnus.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 05, 1937",?,"Brindisi, Italy",Imperial Airways,?,?,Short S-23 (flying boat),G-ADUZ,S-817,8   (passengers:4  crew:4),2   (passengers:1  crew:1),0,"Stalled during takeoff and crashed into the sea. Wrong flap setting for takeoff, causing the aircraft to stall."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 08, 1937",?,"Saint Sauveur, France",Air France,?,Marseille - Lyon - Paris,Potez 621,F-AOTZ,4213,7   (passengers:6  crew:1),2   (passengers:1  crew:1),0,Crashed in poor weather conditions while flying too low hitting Pas de la Motte peak.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 24, 1937",1730,"Kasperske Hory, Czechoslovakia",Air France,?,Bucharest - Vienna - Prague - Paris,Wibault 283-T12,F-AMYD,11,3   (passengers:1  crew:2),3   (passengers:1  crew:2),0,"The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3,300 feet. The cause was never determined. Possibly a naviational error. The aircraft named 'Le Glorieux"
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"January 04, 1938",?,"Frankfurt, Germany",Lufthansa,?,Milan - Frankfurt,Junkers JU-38,D-ABUR,5777,6   (passengers:3  crew:3),6   (passengers:3  crew:3),0,Crashed short of the runway while attempting to land in snow and icing conditions.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"January 10, 1938",1507,"Bozeman, Montana",Northwest Orient Airlines,2,Seattle - Spokane - Butte - Billings - Chicago,Lockheed 14H Super Electra,NC-17388,1407,10   (passengers:8  crew:2),10   (passengers:8  crew:2),0,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter ""natural resonance, or period of vibration"" which resulted in the separation of the rudder and fins and loss of control of the aircraft."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"January 11, 1938",0803,"Pago Pago, U.S. Samoa",Pan American World Airways,1,Oakland - Honolulu - Kingman Reef - Pago Pago - Auckland,Sikorsky S-42 (flying boat),NC16734,4207,7   (passengers:0  crew:7),7   (passengers:0  crew:7),0,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or seven crew members were ever found. The aircraft was named ""Samoan Clipper.""  Pan American's first and chief pilot, Captain Edwin C. Musick, killed."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"January 12, 1938",?,"North Pine, Ontario, Canada",General Airways,?,Sioux Lookout - Hudson,Stinson Reliant SR-9,CF-BEI,5212-S,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed in rugged terrain while en route.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 02, 1938",c 20:40,"Off San Clemente Island, California",Military - U.S. Navy / Military - U.S. Navy,?,Training,Consolidated PBY-2 / Consolidated PBY-2,04062 / 0463,?,14   (passengers:0  crew:14),11   (passengers:0  crew:11),0,The two aircraft crashed in mid-air in heavy rain and darkness and crashed into the sea.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 05, 1938",?,"Kandalaksha, Russia",TsAGI,?,Moscow - Murmansk,V6 (airship),CCCP-V6,?,19   (passengers:0  crew:19),13   (passengers:0  crew:13),0,The airship crashed while on a trial flight in preparation of rescuing  Russian scientists on an ice floe in Greenland. The airship crashed into the side of a mountain.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 09, 1938",?,"Guadalupe, Mexico",Mexicana,?,Test flight,Lockheed 10 Electra,XA-BAS,?,2   (passengers:0  crew:0),2   (passengers:0  crew:0),0,Crashed on a second test flight.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 09, 1938",0730,"Marseille, France",Air France,?,"Marseille, France - Ajaccio, Corsica",Lioré-et-Olivier H-242,F-ANPB,05,12   (passengers:7  crew:5),8   (passengers:5  crew:3),0,The flying boat struck the breakwater in fog at 60 miles an hour and burst into flames while attempting to take off.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 13, 1938",1430,Mediterranean Sea,Ala Littoria SA,?,Cadiz - Pollença -Alghero - Rome,Cant Z-506,I-ORIA,297,14   (passengers:10  crew:4),14   (passengers:10  crew:4),0,Disappeared over the Mediterranean Sea while flying in a storm.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 22, 1938",0445,"Pontoise, France",Deutsche Lufthansa,?,"Berlin, Germany - Paris, France",Junkers JU.52,D-APAR,4040,3   (passengers:0  crew:0),3   (passengers:0  crew:0),0,The mail plane crashed in fog within a few miles of it's destination near Bourget Airport.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 01, 1938",21:30,"Near Wawona, Cailifornia",Trans Continental and Western Air,8,"San Francisco - Winslow, AZ,  Burbank, CA",Douglas DC-2-112,NC13789,1299,9   (passengers:6  crew:3),9   (passengers:6  crew:3),0,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 07, 1938",?,"Datia, India",Air France,?,"Hanoi, Vietnam - Paris, France",Potez 621,F-ANQR,4031/12,7   (passengers:3  crew:4),7   (passengers:3  crew:4),0,Crashed and burst into flames shortly after taking off from Dum Dum.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 08, 1938",?,"Somerton, Australia",Australian National Airways,?,Training,De Havilland DH-60,VH-UNU,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"The pilot made a sharp turn, lost control of the aircraft and chrashed."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 23, 1938",0700,"Corsavy, France",Air France,?,Dakar - Casablanca - Oran - Toulouse - Paris,Dewoitine D-338,F-AQBB,02,8   (passengers:5  crew:3),8   (passengers:5  crew:3),0,The mail plane crashed into Cinq Croix peak in  the Pyrenees mountains while en route.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 30, 1938",1400,"Near Formia, Italy",Ala Littoria,?,Brindisi - Rome,Junkers JU-52,I-BAUS,4063,19   (passengers:14  crew:5),19   (passengers:14  crew:5),0,Struck cloud obscured Mount Maranola.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 05, 1938",?,"Balbuena, Mexico",Lineas Aéreas Mineras,?,Mexico City - Juarez,Lockheed Vega 5B,XA-BFR,124,6   (passengers:5  crew:1),1   (passengers:5  crew:1),0,Stalled and crashed on takeoff.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 10, 1938",?,"Mangere, New Zealand",United Airways of New Zealand,?,Auckland - Palmerston North,Lockheed 10 Electra,ZK-AFC,1092,2   (passengers:?  crew:?),2   (passengers:?  crew:?),0,"After experiencing engine failure while taking off, the plane crashed into trees and exploded in flames."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 16, 1938",1407,"Near Saugus, California",Northwest Orient Airlines,?,"Burbank,- St. Paul",Lockheed 14-H2 Super Electra,NC17394,1439,9   (passengers:7  crew:2),9   (passengers:7  crew:2),0,"Struck Stroh peak at 3,300 feet in Mint Canyon, 27 minutes after taking off from Burbank Airport. The aircraft struck a ridge, bounded over a ravine and struck a second ridge, broke up and burst into flames. The crew did not follow the prescribed procedures and was cruising at an unsafe altitude to overfly the mountainous region."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 22, 1938",1340,"Sao Paulo, Brazil",Cruzeiro do Sul,?,Santos - Sao Paulo - Rio de Janeiro - Natal,Junkers JU-52/3m,PP-CBC,5453,17   (passengers:14  crew:3),6   (passengers:6  crew:0),0,Shortly after taking the plane stalled and crashed into Santos estuary.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 24, 1938",2217,"Cleveland, Ohio",United Air Lines,9,Newark - Cleveland - Chicago,Douglas DST-A-207A,NC18108,1956,10   (passengers:7  crew:3),10   (passengers:7  crew:3),0,An uncontrollable fire developed in the right engine and the pilot decided to make an emergency landing rather than try to reach Cleveland Airport. The plane struck trees in level flight 8.5 miles east of Cleveland Airport. A fire in the right engine accessory section which resulted from the failure of a cylinder barrel and was fed from the right engine oil supply.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 27, 1938",?,"Alberno Canal, BC, Canada",Ginger Coote Airways,?,Vancouver - Zeballos,Fairchild 51,CF-AUX,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed into a wooded area after hitting trees
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 27, 1938",?,"Langeoog, Germany",Deutsche Lufthansa,?,?,Heinkel 116,D-ATIO,546,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,Crashed on Langeoog Island.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"June 08, 1938",?,"Near Singida, Tanzania",Wilson Airways,?,?,De Havilland DH-85,VP-KBE,7055,3   (passengers:1  crew:2),3   (passengers:1  crew:2),0,Crashed about 50 miles from Singida.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"June 19, 1938",?,"Mount  Mercedario, Chile",Pan American Grace Airways,?,?,Douglas DC-2,NC14272,?,4   (passengers:?  crew:?),4   (passengers:?  crew:?),0,"An hour after leaving Santiago, radio contact with the flight was lost, as it had crashed in the high Andes.  It was not found until February 1941, by indians, who plundered the aircraft and the dead passengers looking for valuables."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 08, 1938",0256,"Billings, Montana",Northwest Orient Airlines,4,Seattle - Spokane - Helena - Billings - Fargo,Lockheed 14 Super Electra,NC17383,1402,10   (passengers:8  crew:2),1   (passengers:1  crew:0),0,"While taking off from Billings, the airplane left the ground in a stalled condition from which the pilot attempted to recover by use of full emergency power. Emergency power was not available because of improper adjustment of the stop which had been placed on the quadrant of the propeller pitch control levers, preventing the levers from going to the full low pitch position. As a result of the stalled condition, the airplane fell off on the right wing and crashed at a point 1,100 feet beyond the NE runway, the pilot having cut the switch just prior to the impact."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 14, 1938",0800,"Off Sardinia, Italy",Ala Littoria,?,Cagliari - Rome,Savoia Marchetti S-66,I-VOLO,15013,20   (passengers:16  crew:4),20   (passengers:16  crew:4),0,The flying boat crashed into the Tyrrhenian Sea after the collapse of a wing.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 19, 1938",?,Andes,Panagra,?,?,Douglas DC-2,NC14272,1305,4   (passengers:0  crew:4),4   (passengers:0  crew:4),?,Disappeared over the Andes mountains. Wreckage found Feb 1941at Mt. Mercedario.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 22, 1938",1740,"Stulpica, Romania",LOT Polish Airlines,?,"Warsaw, Poland - Bucharest, Romania",Lockheed 14H Super Electra,SP-BNG,1432,14   (passengers:12  crew:2),14   (passengers:12  crew:2),0,Crashed in strong turbulence and after being struck by lightning .
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 27, 1938",?,"Kisumu, Kenya",Imperial Airways,?,London - Kisumu - Cape Town,Armstrong-Withworth Atlanta,G-ABTG,AW-785,4   (passengers:0  crew:4),4   (passengers:0  crew:4),0,"Flew into a hillside soon after takeoff from Kisumu. The ship was named ""Amalthea."""
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 29, 1938",0411,Pacific Ocean between Manila and Guam,Pan American World Airways,229,Alameda - Manila,Martin M-130 (flying boat),NC14714,556,15   (passengers:6  crew:9),15   (passengers:6  crew:9),0,"The plane crashed into the ocean while en route between Guam and Manilla. The last known position was 12.27 N, 130.40 W or 582 nm east southeast of Manila at 04:00 GCT. Cause unknown. The plane may have been hijacked by the Japanese and flown to Truk Island where the crew and passengers were murdered. The aircraft was named ""Hawaii Clipper."""
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 10, 1938",?,"Debrecen, Hungary",Magyar Legiforagalmi,?,?,Ford Tri-motor F-VIII,HA-FNC,4053,12   (passengers:10  crew:2),12   (passengers:10  crew:2),0,Crashed in a field after penetrating a thunderstorm. The plane was carrying Hungarian journalists.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 10, 1938",?,"Shishijima, Japan",Dai Nippon,?,?,Douglas DF-151,J-ANES,1,6   (passengers:3  crew:3),6   (passengers:3  crew:3),0,Crash landed off Chichijima island.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 12, 1938",1230,"Near San Andres Tuxtla, VeraCruz, Mexico",Mexicana,?,Villahermosa - Veracruz - Mexico City,Lockheed 10E Electra,X-ABAS,1043,11   (passengers:8  crew:3),11   (passengers:8  crew:3),0,Crashed into a mountain in heavy rain in an area being affected by a hurricane.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 13, 1938",1100,"Kiel, Germany",CSA Czech Airlines,?,Prague - Strasbourg - Paris,Savoia-Marchetti SM73,OK-BAG,30040,17   (passengers:14  crew:3),16   (passengers:13  crew:3),0,Crashed into the Black Forest mountains in poor weather conditions. One stewardess survived but died a day later..
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 15, 1938",?,"Guanabara, Brazil",Syndicato Condor,?,Guanabara - Victoria,Junkers JU-52/3m,PP-CAT,4024,9   (passengers:5  crew:4),9   (passengers:5  crew:4),0,"Flew into a mountain wave after taking off, went into a dive and crashed into Guanabara Bay."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 18, 1938",?,"Bucharest, Romania",LOT Polish Airlines,?,?,Lockheed 14 Super Electra,SP-BNJ,1424,7   (passengers:4  crew:3),0   (passengers:0  crew:0),0,Caught fire after a ground looping.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 18, 1938",1700,"Montnago, Italy",Macchi,?,Test flight,Macchi C-94,I-NILO,94001,15   (passengers:13  crew:2),15   (passengers:13  crew:2),0,The sea plane crashed shortly after taking off on a test flight and sank.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 24, 1938",0800,"Wangmoon, China",China National Aviation Corporation,?,Hong Kong - Chungking,Douglas DC-2,32,1369,17   (passengers:13  crew:4),14   (passengers:12  crew:2),0,"While en route from Hong Kong to Chungking, the aircraft was shot down by Japanese military fighters. The aircraft was named Kweilin. The plane was rebuilt to fly again only to be shot down again by Japanese military."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 24, 1938",?,"Tokyo, Japan",Japan Air / Japan Flying School,?,?,Unknown / Unknown,?,?,5   (passengers:?  crew:?),5   (passengers:?  crew:?),53,"Midair collision between the airliner and a small plane. The wreckage fell on the suburbs of Tokyo.  Three killed on the airliner, two in the trainer and 53 on the ground."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 29, 1938",c 23:00,"Near Tucumcari, New Mexico",Transcontinental &Western Air,?,Burbank - Winslow - Albuquerque,Ford Tri-motor,NC17316,410,11   (passengers:8  crew:3),0   (passengers:0  crew:0),0,"The mail /passenger transport crashed in a field 10 miles south of Tucumcari after penetrating a strong storm. Excessive vibration and loss of power, due to malfunctioning of left engine, consulting in insufficient speed to sustain the aircraft in flight."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 29, 1938",0930,"Innisfail, Australia",North Queensland Airways,?,Townsville - Innisfail - Cairns,De Havilland DH-84,VH-UXK,6053,9   (passengers:8  crew:1),5   (passengers:4  crew:1),0,Crashed into a cane field short of the runwa while attempting to land when the pilot swerved to avoid a tractor.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 01, 1938",?,"Off Bathurst, Gambia",Deutsche Lufthansa,?,"Frankfurt, Germany - Milan, Italy",Dornier DO.18 (float plane),D-AROZ,255,4   (passengers:0  crew:4),4   (passengers:0  crew:4),0,Disappeared over the Atlantic ocean.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 01, 1938",?,"Grisons, Switzerland",Deutsche Lufthansa,?,"Frankfurt, Germany - Milan, Italy",Junkers JU-52/3m,D-AVFB,5928,13   (passengers:10  crew:3),13   (passengers:10  crew:3),0,"While flying over the Alps, the aircraft disappeared. A search was unsuccessful and  no trace of the aircraft nor the occupant was found. A mountain guide found debris 14 years later, on the slope of the Pizzo Cengalo on the border with Switzerland. Some mail bags were recovered and sent to the local post office."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 10, 1938",1100,"Soest, Germany",Sabena,?,Brussels - Düsseldorf - Berlin,Savbia-Marchetti  S-73P,OO-AGT,4,20   (passengers:16  crew:4),20   (passengers:16  crew:4),0,"The aircraft broke-up in midair and crashed to the ground.  A propeller may have broken, tearing loose an engine."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 25, 1938",1345,"Mt. Dandenong, Australia",Australian National Airways,?,Adelaide - Melbourne,Douglas DC-2-112,VH-UYC,1566,18   (passengers:14  crew:4),18   (passengers:14  crew:4),0,Crashed into Mt. Daodenong in heavy fog while en route. Procedural errors by the pilot.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 02, 1938",?,"Somerset, England",British Airways,?,?,Lockheed 14 Electra,CF-TCL,?,2   (passengers:?  crew:?),2   (passengers:?  crew:?),0,?
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 04, 1938",10:50,"Channel Islands, Jersey",Jersey Airways,?,Jersey - Southhampton,de Havilland DH-86,G-ACZN,2316,14   (passengers:13  crew:1),14   (passengers:13  crew:1),1,Caught fire and crashed into a field two minutes after taking off. A farm worker was crushed to death when the wreckage landed on him. The pilot allowed the plane to fall into a side-slip while climbing through a low overcast and at an insufficient altitude for him to regain contol.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 14, 1938",1841,"Schiphol, Amsterdam",KLM Royal Dutch Airlines,?,Berlin - Amsterdam,Douglas DC-3,PH-ARY,2021,19   (passengers:14  crew:5),6   (passengers:2  crew:4),0,The aircraft flew into the ground during approach in poor visibility. The first officer was commander of the military flying school Soesterberg. Pilot descended below a safe height during the approach.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
